feature,importance
mean_28d,15.863290934098195
fft_amp_1,13.867557773431306
high_freq_power,13.241910782541757
peak_ratio_mean,12.661764953799782
charging_type,9.15856156772025
last_day_usage,6.158194634916851
fft_amp_0,4.935638699508245
total_power,4.451781018063188
low_freq_power,4.180177272309787
std_28d,4.0251683638561
fft_amp_2,3.7365116461588412
spectral_entropy,2.8457764147180646
fft_freq_0,1.9612039842030136
month,1.301478470648791
fft_freq_1,0.8240150060644563
fft_freq_2,0.6673643522509913
dayofweek,0.11960412571036351
